GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChefsApprentice,sample,DBConnector,1519,86,79,7,448,24,74,4,34,1
ChefsApprentice,sample,MainBackEnd,16,0,0,0,9,0,3,0,3,0
ChefsApprentice,sample,User,14,12,0,0,4,5,2,2,2,2
ChefsApprentice,sample,MultiServer,36,0,0,0,13,0,3,0,3,0
ChefsApprentice,sample,Recipe,94,21,0,0,24,8,6,3,6,3
ChefsApprentice,sample,Server,122,0,12,0,29,0,9,0,3,0
ChefsApprentice,sample,IdRecipePair,0,17,0,0,0,7,0,5,0,5
ChefsApprentice,sample,Serializer,88,164,7,13,21,36,7,10,3,4
ChefsApprentice,sample,ServerThread,243,0,28,0,69,0,17,0,3,0
ChefsApprentice,sample,Client,44,0,0,0,10,0,4,0,4,0
